FECHA,VV
2019-10-12,5290.05
2019-10-13,123.23
2019-10-14,5721.13
2019-10-15,13224.55
2019-10-16,12415.26
2019-10-17,9276.19
2019-10-18,16653.08
2019-10-19,3325.59
2019-10-20,0.0
2019-10-21,17426.75
2019-10-22,14261.78
2019-10-23,21395.53
2019-10-24,21307.61
2019-10-25,16692.85
2019-10-26,4678.41
2019-10-27,0.0
2019-10-28,16433.52
2019-10-29,10292.63
2019-10-30,45836.05
2019-10-31,29208.05
2019-11-01,2200.02
2019-11-02,4446.57
2019-11-04,14736.44
2019-11-05,7918.1
2019-11-06,11638.22
2019-11-07,19458.26
2019-11-08,15783.49
2019-11-09,1859.65
2019-11-11,5745.82
2019-11-12,8839.57
2019-11-13,22330.72
2019-11-14,12488.33
2019-11-15,17548.54
2019-11-16,4960.0
2019-11-17,0.0
2019-11-18,18690.83
2019-11-19,18918.27
2019-11-20,34633.48
2019-11-21,25385.97
2019-11-22,24070.05
2019-11-23,986.19
2019-11-25,14395.66
2019-11-26,8412.23
2019-11-27,21750.64
2019-11-28,8001.84
2019-11-29,13300.9
2019-11-30,3687.6
2019-12-02,11259.36
2019-12-03,10652.09
2019-12-04,39488.9
2019-12-05,15116.48
2019-12-06,8466.71
2019-12-07,4455.34
2019-12-09,13162.8
2019-12-10,13203.56
2019-12-11,19022.24
2019-12-12,24112.01
2019-12-13,13835.93
2019-12-14,7367.39
2019-12-16,16165.84
2019-12-17,11435.63
2019-12-18,11453.87
2019-12-19,19997.85
2019-12-20,14127.35
2019-12-21,10860.57
2019-12-22,0.0
2019-12-24,6369.53
2019-12-26,18215.81
2019-12-27,23455.65
2019-12-28,7451.02
2019-12-30,23509.65
2019-12-31,15962.45
2020-01-06,8475.4
2020-01-07,32487.62
2020-01-08,35098.9
2020-01-09,17665.78
2020-01-10,31472.86
2020-01-11,19103.18
2020-01-13,25854.14
2020-01-14,39476.62
2020-01-15,31156.78
2020-01-16,31940.84
2020-01-17,33441.1
2020-01-18,15872.86
2020-01-20,38177.22
2020-01-21,38317.14
2020-01-22,36978.04
2020-01-23,36687.52
2020-01-24,53530.52
2020-01-25,16598.5
2020-01-27,42395.76
2020-01-28,26326.34
2020-01-29,28970.96
2020-01-30,43817.62
2020-01-31,43883.62
2020-02-01,7173.85
2020-02-03,7885.16
