var1(t-7),var1(t-6),var1(t-5),var1(t-4),var1(t-3),var1(t-2),var1(t-1),var1(t)
-0.5080604,-0.81634957,-0.40915567,0.0572412,-0.3281623,-0.24321753,-0.5636896,-0.8540696
-0.81634957,-0.40915567,0.0572412,-0.3281623,-0.24321753,-0.5636896,-0.8540696,-0.6823824
-0.40915567,0.0572412,-0.3281623,-0.24321753,-0.5636896,-0.8540696,-0.6823824,-0.6409209
0.0572412,-0.3281623,-0.24321753,-0.5636896,-0.8540696,-0.6823824,-0.6409209,-0.67424554
-0.3281623,-0.24321753,-0.5636896,-0.8540696,-0.6823824,-0.6409209,-0.67424554,-0.34235007
-0.24321753,-0.5636896,-0.8540696,-0.6823824,-0.6409209,-0.67424554,-0.34235007,-0.5983933
-0.5636896,-0.8540696,-0.6823824,-0.6409209,-0.67424554,-0.34235007,-0.5983933,-0.63142323
-0.8540696,-0.6823824,-0.6409209,-0.67424554,-0.34235007,-0.5983933,-0.63142323,-0.3644902
-0.6823824,-0.6409209,-0.67424554,-0.34235007,-0.5983933,-0.63142323,-0.3644902,-0.5408882
-0.6409209,-0.67424554,-0.34235007,-0.5983933,-0.63142323,-0.3644902,-0.5408882,-0.37366992
-0.67424554,-0.34235007,-0.5983933,-0.63142323,-0.3644902,-0.5408882,-0.37366992,-0.9841757
-0.34235007,-0.5983933,-0.63142323,-0.3644902,-0.5408882,-0.37366992,-0.9841757,0.3089918
-0.5983933,-0.63142323,-0.3644902,-0.5408882,-0.37366992,-0.9841757,0.3089918,-0.9201044
-0.63142323,-0.3644902,-0.5408882,-0.37366992,-0.9841757,0.3089918,-0.9201044,-0.6784074
-0.3644902,-0.5408882,-0.37366992,-0.9841757,0.3089918,-0.9201044,-0.6784074,-0.4898572
-0.5408882,-0.37366992,-0.9841757,0.3089918,-0.9201044,-0.6784074,-0.4898572,-0.3668183
-0.37366992,-0.9841757,0.3089918,-0.9201044,-0.6784074,-0.4898572,-0.3668183,-0.46380293
-0.9841757,0.3089918,-0.9201044,-0.6784074,-0.4898572,-0.3668183,-0.46380293,-0.2750697
0.3089918,-0.9201044,-0.6784074,-0.4898572,-0.3668183,-0.46380293,-0.2750697,-0.9265341
-0.9201044,-0.6784074,-0.4898572,-0.3668183,-0.46380293,-0.2750697,-0.9265341,-0.67190623
-0.6784074,-0.4898572,-0.3668183,-0.46380293,-0.2750697,-0.9265341,-0.67190623,-0.90088713
-0.4898572,-0.3668183,-0.46380293,-0.2750697,-0.9265341,-0.67190623,-0.90088713,-0.96586454
-0.3668183,-0.46380293,-0.2750697,-0.9265341,-0.67190623,-0.90088713,-0.96586454,-0.9919931
-0.46380293,-0.2750697,-0.9265341,-0.67190623,-0.90088713,-0.96586454,-0.9919931,-0.62080395
-0.2750697,-0.9265341,-0.67190623,-0.90088713,-0.96586454,-0.9919931,-0.62080395,-0.955744
-0.9265341,-0.67190623,-0.90088713,-0.96586454,-0.9919931,-0.62080395,-0.955744,0.5395068
-0.67190623,-0.90088713,-0.96586454,-0.9919931,-0.62080395,-0.955744,0.5395068,-0.16634643
-0.90088713,-0.96586454,-0.9919931,-0.62080395,-0.955744,0.5395068,-0.16634643,-0.090910375
-0.96586454,-0.9919931,-0.62080395,-0.955744,0.5395068,-0.16634643,-0.090910375,-0.62284094
-0.9919931,-0.62080395,-0.955744,0.5395068,-0.16634643,-0.090910375,-0.62284094,-0.33055395
-0.62080395,-0.955744,0.5395068,-0.16634643,-0.090910375,-0.62284094,-0.33055395,-0.75621736
-0.955744,0.5395068,-0.16634643,-0.090910375,-0.62284094,-0.33055395,-0.75621736,-0.25692624
0.5395068,-0.16634643,-0.090910375,-0.62284094,-0.33055395,-0.75621736,-0.25692624,-0.2676382
-0.16634643,-0.090910375,-0.62284094,-0.33055395,-0.75621736,-0.25692624,-0.2676382,-0.7861869
-0.090910375,-0.62284094,-0.33055395,-0.75621736,-0.25692624,-0.2676382,-0.7861869,-0.9956394
-0.62284094,-0.33055395,-0.75621736,-0.25692624,-0.2676382,-0.7861869,-0.9956394,-0.7307927
-0.33055395,-0.75621736,-0.25692624,-0.2676382,-0.7861869,-0.9956394,-0.7307927,-0.8485201
-0.75621736,-0.25692624,-0.2676382,-0.7861869,-0.9956394,-0.7307927,-0.8485201,-0.7916273
-0.25692624,-0.2676382,-0.7861869,-0.9956394,-0.7307927,-0.8485201,-0.7916273,-0.8423523
-0.2676382,-0.7861869,-0.9956394,-0.7307927,-0.8485201,-0.7916273,-0.8423523,-0.8229942
-0.7861869,-0.9956394,-0.7307927,-0.8485201,-0.7916273,-0.8423523,-0.8229942,-0.9528649
-0.9956394,-0.7307927,-0.8485201,-0.7916273,-0.8423523,-0.8229942,-0.9528649,-0.7123922
-0.7307927,-0.8485201,-0.7916273,-0.8423523,-0.8229942,-0.9528649,-0.7123922,-0.7203244
-0.8485201,-0.7916273,-0.8423523,-0.8229942,-0.9528649,-0.7123922,-0.7203244,-0.73020387
-0.7916273,-0.8423523,-0.8229942,-0.9528649,-0.7123922,-0.7203244,-0.73020387,-0.68686634
-0.8423523,-0.8229942,-0.9528649,-0.7123922,-0.7203244,-0.73020387,-0.68686634,-0.73149145
-0.8229942,-0.9528649,-0.7123922,-0.7203244,-0.73020387,-0.68686634,-0.73149145,-0.9532187
-0.9528649,-0.7123922,-0.7203244,-0.73020387,-0.68686634,-0.73149145,-0.9532187,-0.80570376
-0.7123922,-0.7203244,-0.73020387,-0.68686634,-0.73149145,-0.9532187,-0.80570376,-0.62578773
-0.7203244,-0.73020387,-0.68686634,-0.73149145,-0.9532187,-0.80570376,-0.62578773,-0.7365997
-0.73020387,-0.68686634,-0.73149145,-0.9532187,-0.80570376,-0.62578773,-0.7365997,-0.79412687
-0.68686634,-0.73149145,-0.9532187,-0.80570376,-0.62578773,-0.7365997,-0.79412687,-0.646207
